Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
825,56.357,public,droppings,3,509877.63249449234,8566676.643923916,"c(509877.632494492, 8566676.64392392)",KANI-KELI
826,73.135,prive,tire waste,100,509852.16299310594,8567666.02651176,"c(509852.162993106, 8567666.02651176)",BOUENI
827,24.004,,tire waste,15,510446.25113808713,8567982.36363289,"c(510446.251138087, 8567982.36363289)",BOUENI
828,7.652,,vehicle scrap,1,510765.1042378611,8568554.801699363,"c(510765.104237861, 8568554.80169936)",BOUENI
829,2.743,,vehicle scrap,2,510994.29082974076,8568856.656802667,"c(510994.290829741, 8568856.65680267)",BOUENI
830,13.73,,vehicle scrap,2,511143.3993276628,8569589.947866116,"c(511143.399327663, 8569589.94786612)",BOUENI
831,101.501,,vehicle scrap,3,516468.7729936196,8581180.745098531,"c(516468.77299362, 8581180.74509853)",DEMBENI
832,106.742,,solid waste,8,516461.0541283642,8581200.497948416,"c(516461.054128364, 8581200.49794842)",DEMBENI
833,101.362,,tire waste,6,516229.11054364167,8581358.284771517,"c(516229.110543642, 8581358.28477152)",DEMBENI
834,107.024,,vehicle scrap,1,516159.9190387254,8581401.889837947,"c(516159.919038725, 8581401.88983795)",DEMBENI
835,105.55,,solid waste,4,516166.7605629337,8581403.270414332,"c(516166.760562934, 8581403.27041433)",DEMBENI
836,8.766,public,vehicle scrap,3,519731.03840423503,8580288.869542796,"c(519731.038404235, 8580288.8695428)",DEMBENI
837,2.583,public,vehicle scrap,2,519992.22685348056,8580564.606982116,"c(519992.226853481, 8580564.60698212)",DEMBENI
838,104.345,,solid waste,5,516390.2196855457,8581063.0090971,"c(516390.219685546, 8581063.0090971)",DEMBENI
839,8.681,public,vehicle scrap,1,519990.4565705995,8580639.884870874,"c(519990.4565706, 8580639.88487087)",DEMBENI
840,140.975,,vehicle scrap,1,516892.8210105169,8580916.460128963,"c(516892.821010517, 8580916.46012896)",DEMBENI
841,160.671,,vehicle scrap,20,516993.6896994784,8580927.288387904,"c(516993.689699478, 8580927.2883879)",DEMBENI
842,165.315,,vehicle scrap,2,517025.3656089463,8580722.344660893,"c(517025.365608946, 8580722.34466089)",DEMBENI
843,166.884,,droppings,1,517041.0138476379,8580672.128307808,"c(517041.013847638, 8580672.12830781)",DEMBENI
844,175.011,,vehicle scrap,3,517017.25423685694,8580756.015073523,"c(517017.254236857, 8580756.01507352)",DEMBENI
845,169.533,,droppings,1,517174.90309311997,8580900.875048345,"c(517174.90309312, 8580900.87504834)",DEMBENI
846,182.702,,droppings,1,517228.0614485985,8580935.029811583,"c(517228.061448599, 8580935.02981158)",DEMBENI
847,183.29,,solid waste,1,517209.5741952022,8580899.722460024,"c(517209.574195202, 8580899.72246002)",DEMBENI
848,180.679,,vehicle scrap,1,517256.5190752621,8580961.867912939,"c(517256.519075262, 8580961.86791294)",DEMBENI
849,179.988,,vehicle scrap,1,517354.3849836272,8581089.03354602,"c(517354.384983627, 8581089.03354602)",DEMBENI
850,189.478,,solid waste,1,517230.17233386135,8580861.532427127,"c(517230.172333861, 8580861.53242713)",DEMBENI
851,191.481,,solid waste,2,517184.27675871796,8580719.50610498,"c(517184.276758718, 8580719.50610498)",DEMBENI
852,186.925,,solid waste,10,517166.558478813,8580614.30281194,"c(517166.558478813, 8580614.30281194)",DEMBENI
853,190.797,,vehicle scrap,2,517167.9064980402,8580579.44439153,"c(517167.90649804, 8580579.44439153)",DEMBENI
854,193.582,,vehicle scrap,2,517159.89765578264,8580534.01754397,"c(517159.897655783, 8580534.01754397)",DEMBENI
855,98.108,prive,vehicle scrap,1,517550.97051965585,8579415.5301533,"c(517550.970519656, 8579415.5301533)",DEMBENI
856,97.405,prive,vehicle scrap,1,517658.5999262928,8579365.248847835,"c(517658.599926293, 8579365.24884783)",DEMBENI
857,81.728,prive,vehicle scrap,4,517892.6114969461,8579484.664998585,"c(517892.611496946, 8579484.66499859)",DEMBENI
858,83.987,prive,vehicle scrap,3,518017.84010498965,8579393.62693949,"c(518017.84010499, 8579393.62693949)",DEMBENI
859,23.932,prive,vehicle scrap,3,518698.13893282355,8580162.082957152,"c(518698.138932824, 8580162.08295715)",DEMBENI
860,23.077,prive,vehicle scrap,5,518753.4079588476,8580239.41482649,"c(518753.407958848, 8580239.41482649)",DEMBENI
861,32.259,prive,droppings,12,518837.79278685,8580465.129289148,"c(518837.79278685, 8580465.12928915)",DEMBENI
862,16.865,prive,vehicle scrap,1,518841.36104617873,8580460.936805312,"c(518841.361046179, 8580460.93680531)",DEMBENI
863,23.136,prive,vehicle scrap,14,518752.4659882267,8580530.61225254,"c(518752.465988227, 8580530.61225254)",DEMBENI
864,21.11,prive,vehicle scrap,1,518721.19533343107,8580696.010316566,"c(518721.195333431, 8580696.01031657)",DEMBENI
865,9.107,prive,vehicle scrap,1,518856.69548150373,8580700.406879133,"c(518856.695481504, 8580700.40687913)",DEMBENI
866,17.791,prive,vehicle scrap,3,518907.49229287944,8580790.943132002,"c(518907.492292879, 8580790.943132)",DEMBENI
867,183.42,,solid waste,7,517255.5903340235,8580953.271585986,"c(517255.590334024, 8580953.27158599)",DEMBENI
868,188.51,,solid waste,20,517304.0056572755,8580792.400917908,"c(517304.005657275, 8580792.40091791)",DEMBENI
869,92.016,,vehicle scrap,1,517886.78429524315,8580719.190790486,"c(517886.784295243, 8580719.19079049)",DEMBENI
870,92.247,,tire waste,30,517919.43313797464,8580688.536656922,"c(517919.433137975, 8580688.53665692)",DEMBENI
871,117.226,,watering hole,1,517713.0169932345,8580838.810887072,"c(517713.016993235, 8580838.81088707)",DEMBENI
872,63.987,,vehicle scrap,2,518003.3362085752,8580393.281840397,"c(518003.336208575, 8580393.2818404)",DEMBENI
873,70.748,,solid waste,1,517909.13062197523,8580409.849387717,"c(517909.130621975, 8580409.84938772)",DEMBENI
874,66.881,,vehicle scrap,9,518125.93274349964,8580397.502228575,"c(518125.9327435, 8580397.50222857)",DEMBENI
875,71.636,,droppings,1,518144.8935668743,8580196.370526075,"c(518144.893566874, 8580196.37052608)",DEMBENI
876,74.745,,droppings,1,518140.1753202971,8580187.614118448,"c(518140.175320297, 8580187.61411845)",DEMBENI
877,76.098,,vehicle scrap,2,518121.874844009,8580180.366051452,"c(518121.874844009, 8580180.36605145)",DEMBENI
878,93.239,,vehicle scrap,2,517752.01153338247,8579892.76500353,"c(517752.011533382, 8579892.76500353)",DEMBENI
879,100.492,,solid waste,3,517666.06274058734,8579830.20930853,"c(517666.062740587, 8579830.20930853)",DEMBENI
880,119.249,,vehicle scrap,4,517551.47523451556,8579700.95628513,"c(517551.475234516, 8579700.95628513)",DEMBENI
881,127.848,,vehicle scrap,1,517228.19257841556,8579361.702243997,"c(517228.192578416, 8579361.702244)",DEMBENI
882,136.577,,vehicle scrap,1,517088.8238590356,8579338.473077256,"c(517088.823859036, 8579338.47307726)",DEMBENI
883,152.933,,vehicle scrap,1,517025.62761330267,8579174.401806172,"c(517025.627613303, 8579174.40180617)",DEMBENI
884,161.163,,vehicle scrap,1,516857.64960751403,8578971.788421674,"c(516857.649607514, 8578971.78842167)",DEMBENI
885,151.975,,vehicle scrap,1,516922.09668732947,8578575.271952782,"c(516922.096687329, 8578575.27195278)",DEMBENI
886,153.692,,vehicle scrap,2,516919.79716680443,8578535.300024511,"c(516919.797166804, 8578535.30002451)",DEMBENI
887,178.417,,solid waste,1,516961.40687197045,8578156.330476997,"c(516961.40687197, 8578156.330477)",DEMBENI
888,44.769,,solid waste,1,518353.316104602,8580496.843204204,"c(518353.316104602, 8580496.8432042)",DEMBENI
889,31.127,,vehicle scrap,3,518537.5992451493,8580651.602044052,"c(518537.599245149, 8580651.60204405)",DEMBENI
890,23.987,,vehicle scrap,1,518464.21962806623,8580709.22904756,"c(518464.219628066, 8580709.22904756)",DEMBENI
891,53.56,,vehicle scrap,1,518119.2097341784,8580431.450761827,"c(518119.209734178, 8580431.45076183)",DEMBENI
892,51.163,,vehicle scrap,1,518135.8274171229,8580567.646874428,"c(518135.827417123, 8580567.64687443)",DEMBENI
893,21.745,,solid waste,3,518637.0123705754,8580689.838349268,"c(518637.012370575, 8580689.83834927)",DEMBENI
894,21.944,,vehicle scrap,1,518559.23005324136,8580458.842920426,"c(518559.230053241, 8580458.84292043)",DEMBENI
895,27.978,,vehicle scrap,10,518398.28642070794,8580277.780517444,"c(518398.286420708, 8580277.78051744)",DEMBENI
896,45.023,,vehicle scrap,1,518486.9530726918,8580377.957758967,"c(518486.953072692, 8580377.95775897)",DEMBENI
897,19.64,,vehicle scrap,3,518478.11898406653,8580964.11026033,"c(518478.118984067, 8580964.11026033)",DEMBENI
898,27.621,,vehicle scrap,1,518486.6015918433,8580979.176334292,"c(518486.601591843, 8580979.17633429)",DEMBENI
899,38.26,,solid waste,2,518422.23205785785,8580918.352610711,"c(518422.232057858, 8580918.35261071)",DEMBENI
900,23.682,,vehicle scrap,1,518476.21212642925,8580868.342398467,"c(518476.212126429, 8580868.34239847)",DEMBENI
901,23.073,,vehicle scrap,2,518442.0454518121,8580831.286775228,"c(518442.045451812, 8580831.28677523)",DEMBENI
902,22.168,,vehicle scrap,3,518458.04722991685,8580797.654959794,"c(518458.047229917, 8580797.65495979)",DEMBENI
903,19.569,,vehicle scrap,2,518477.83203239914,8580744.82744124,"c(518477.832032399, 8580744.82744124)",DEMBENI
904,15.789,,vehicle scrap,2,518722.0139816038,8580696.715303484,"c(518722.013981604, 8580696.71530348)",DEMBENI
905,12.009,,vehicle scrap,3,518811.78925725986,8580645.78691766,"c(518811.78925726, 8580645.78691766)",DEMBENI
906,12.147,,solid waste,6,518838.5513219005,8580647.292777468,"c(518838.5513219, 8580647.29277747)",DEMBENI
907,8.64,,vehicle scrap,1,518826.1600344332,8580633.820759641,"c(518826.160034433, 8580633.82075964)",DEMBENI
908,14.264,,vehicle scrap,7,518762.2411495048,8580539.456953082,"c(518762.241149505, 8580539.45695308)",DEMBENI
909,18.976,,droppings,1,518776.5931534588,8580415.505425321,"c(518776.593153459, 8580415.50542532)",DEMBENI
910,21.488,,solid waste,1,518758.4710412659,8580346.233617853,"c(518758.471041266, 8580346.23361785)",DEMBENI
911,19.043,,droppings,1,518836.08131769934,8580463.135480978,"c(518836.081317699, 8580463.13548098)",DEMBENI
912,19.742,,vehicle scrap,2,518851.122425484,8580467.03564908,"c(518851.122425484, 8580467.03564908)",DEMBENI
913,24.015,,solid waste,1,518636.0445836817,8580742.174625728,"c(518636.044583682, 8580742.17462573)",DEMBENI
914,23.245,,vehicle scrap,1,518655.64871927176,8580723.279109934,"c(518655.648719272, 8580723.27910993)",DEMBENI
915,19.656,,vehicle scrap,3,518600.8116831577,8580725.465398401,"c(518600.811683158, 8580725.4653984)",DEMBENI
916,0,,vehicle scrap,1,519090.71090225095,8580869.896125095,"c(519090.710902251, 8580869.8961251)",DEMBENI
917,0,,clogged drain,1,519088.8859529651,8580868.635590855,"c(519088.885952965, 8580868.63559086)",DEMBENI
918,3.103,,droppings,1,519091.69113539107,8580857.712264724,"c(519091.691135391, 8580857.71226472)",DEMBENI
919,12.315,,droppings,1,519036.667148588,8580780.048038194,"c(519036.667148588, 8580780.04803819)",DEMBENI
920,11.202,,solid waste,5,519048.90913335053,8580742.92172127,"c(519048.909133351, 8580742.92172127)",DEMBENI
921,12.786,,vehicle scrap,1,518934.68866941886,8580797.436008817,"c(518934.688669419, 8580797.43600882)",DEMBENI
922,10.261,,vehicle scrap,1,518961.5036520164,8580771.12064685,"c(518961.503652016, 8580771.12064685)",DEMBENI
923,11.048,,marine debris,200,518949.9415043537,8580676.268335896,"c(518949.941504354, 8580676.2683359)",DEMBENI
924,11.111,,vehicle scrap,1,518855.0657864912,8580700.625830619,"c(518855.065786491, 8580700.62583062)",DEMBENI
925,11.189,,vehicle scrap,20,518838.3941816879,8580710.444877908,"c(518838.394181688, 8580710.44487791)",DEMBENI
926,14.219,,vehicle scrap,6,518894.7181386524,8580784.30779133,"c(518894.718138652, 8580784.30779133)",DEMBENI
927,15.163,,tire waste,12,518989.9234524392,8580818.325755171,"c(518989.923452439, 8580818.32575517)",DEMBENI
928,13.623,,vehicle scrap,1,519016.84007109515,8580833.03191877,"c(519016.840071095, 8580833.03191877)",DEMBENI
929,4.16,,solid waste,1,518763.54281768546,8580791.181580395,"c(518763.542817685, 8580791.1815804)",DEMBENI
930,21.806,,vehicle scrap,1,518699.45349150564,8580802.447792504,"c(518699.453491506, 8580802.4477925)",DEMBENI
931,17.425,,solid waste,1,518712.02706141694,8580799.649318228,"c(518712.027061417, 8580799.64931823)",DEMBENI
932,48.021,,droppings,1,518592.6295334843,8581249.190872155,"c(518592.629533484, 8581249.19087216)",DEMBENI
933,48.131,,droppings,1,518599.21735581,8581234.435518648,"c(518599.21735581, 8581234.43551865)",DEMBENI
934,44.341,,marine debris,30,518607.05140796385,8581226.964696394,"c(518607.051407964, 8581226.96469639)",DEMBENI
935,49.294,,vehicle scrap,2,518573.97157268657,8581240.815362435,"c(518573.971572687, 8581240.81536243)",DEMBENI
936,65.065,,vehicle scrap,1,518654.510057296,8581328.309994344,"c(518654.510057296, 8581328.30999434)",DEMBENI
937,67.408,,vehicle scrap,3,518660.4220754934,8581286.2581955,"c(518660.422075493, 8581286.2581955)",DEMBENI
938,43.829,,marine debris,10,518595.34516957967,8581339.972983297,"c(518595.34516958, 8581339.9729833)",DEMBENI
939,52.245,,marine debris,20,518594.7759860989,8581319.511759572,"c(518594.775986099, 8581319.51175957)",DEMBENI
940,52.937,,vehicle scrap,1,518599.27486902894,8581314.458339022,"c(518599.274869029, 8581314.45833902)",DEMBENI
941,60.954,,marine debris,1,518619.51518346416,8581310.030316923,"c(518619.515183464, 8581310.03031692)",DEMBENI
942,54.058,,solid waste,10,518461.4062609697,8581232.81710404,"c(518461.40626097, 8581232.81710404)",DEMBENI
943,41.914,,vehicle scrap,5,518388.01978257654,8581299.098273192,"c(518388.019782577, 8581299.09827319)",DEMBENI
944,42.628,,marine debris,50,518382.9333763481,8581296.889907815,"c(518382.933376348, 8581296.88990781)",DEMBENI
945,62.846,,vehicle scrap,2,518383.2130547846,8581327.846975945,"c(518383.213054785, 8581327.84697594)",DEMBENI
946,58.577,,vehicle scrap,3,518393.3133174234,8581370.464342207,"c(518393.313317423, 8581370.46434221)",DEMBENI
947,73.362,,vehicle scrap,1,518394.04427371564,8581422.659019837,"c(518394.044273716, 8581422.65901984)",DEMBENI
948,43.036,,vehicle scrap,1,518551.7666115665,8581155.939261368,"c(518551.766611566, 8581155.93926137)",DEMBENI
949,29.122,,vehicle scrap,1,518585.1413685013,8581035.655565014,"c(518585.141368501, 8581035.65556501)",DEMBENI
950,27.568,,solid waste,1,518650.7392227504,8581025.452450138,"c(518650.73922275, 8581025.45245014)",DEMBENI
951,31.153,,solid waste,3,518684.53398558265,8580904.518094767,"c(518684.533985583, 8580904.51809477)",DEMBENI
952,28.348,,vehicle scrap,1,518676.58213611564,8580875.147508508,"c(518676.582136116, 8580875.14750851)",DEMBENI
953,202.943,,droppings,1,518677.3980177374,8581097.701088453,"c(518677.398017737, 8581097.70108845)",DEMBENI
954,61.967,,vehicle scrap,2,518935.64475991175,8581018.885884397,"c(518935.644759912, 8581018.8858844)",DEMBENI
955,82.412,,vehicle scrap,1,518875.6907677319,8581181.945783822,"c(518875.690767732, 8581181.94578382)",DEMBENI
956,56.627,prive,droppings,1,521216.4378336169,8579050.200076032,"c(521216.437833617, 8579050.20007603)",DEMBENI
957,80.562,,vehicle scrap,6,518789.2284657235,8581214.355701074,"c(518789.228465724, 8581214.35570107)",DEMBENI
958,81.969,,vehicle scrap,2,518836.51607441803,8581268.59256744,"c(518836.516074418, 8581268.59256744)",DEMBENI
959,38.466,prive,vehicle scrap,4,521271.83473952697,8579115.198910858,"c(521271.834739527, 8579115.19891086)",DEMBENI
960,79.357,,solid waste,4,519020.88586263754,8581137.05599631,"c(519020.885862638, 8581137.05599631)",DEMBENI
961,47.635,prive,solid waste,4,521179.1831982166,8579138.373935252,"c(521179.183198217, 8579138.37393525)",DEMBENI
962,76.801,,solid waste,1,519074.00383241416,8581104.736662144,"c(519074.003832414, 8581104.73666214)",DEMBENI
963,57.527,,droppings,1,519106.3528228407,8581011.190339103,"c(519106.352822841, 8581011.1903391)",DEMBENI
964,47.596,,solid waste,4,519034.3475631557,8580967.278403495,"c(519034.347563156, 8580967.2784035)",DEMBENI
965,42.239,,solid waste,1,518960.9646538299,8580939.720582478,"c(518960.96465383, 8580939.72058248)",DEMBENI
966,52.216,prive,droppings,1,521165.1370736873,8579161.193968767,"c(521165.137073687, 8579161.19396877)",DEMBENI
967,35.934,,vehicle scrap,4,518925.56350907945,8580926.807164121,"c(518925.563509079, 8580926.80716412)",DEMBENI
968,29.289,,solid waste,1,518853.52566421,8580872.434519645,"c(518853.52566421, 8580872.43451964)",DEMBENI
969,27.464,,solid waste,2,518800.87311688776,8580842.94696927,"c(518800.873116888, 8580842.94696927)",DEMBENI
970,56.391,prive,tire waste,20,521205.51319052227,8579052.615817303,"c(521205.513190522, 8579052.6158173)",DEMBENI
971,20.015,,solid waste,1,518767.2283387324,8580872.76235772,"c(518767.228338732, 8580872.76235772)",DEMBENI
972,23.284,,solid waste,4,518692.918273908,8580976.939267883,"c(518692.918273908, 8580976.93926788)",DEMBENI
973,25.309,,solid waste,4,518651.1433168303,8581073.312412161,"c(518651.14331683, 8581073.31241216)",DEMBENI
974,23.413,,vehicle scrap,1,518981.98279298947,8580913.067423362,"c(518981.982792989, 8580913.06742336)",DEMBENI
975,20.459,,solid waste,2,520389.31861510215,8581379.228991913,"c(520389.318615102, 8581379.22899191)",DEMBENI
976,15.21,,vehicle scrap,1,520341.4613109998,8581339.896506352,"c(520341.461311, 8581339.89650635)",DEMBENI
977,74.156,,vehicle scrap,10,520103.68242732296,8581085.060533345,"c(520103.682427323, 8581085.06053334)",DEMBENI
978,99.366,,vehicle scrap,1,519552.6175719708,8581048.000096837,"c(519552.617571971, 8581048.00009684)",DEMBENI
979,57.626,,tire waste,50,519396.7052676829,8581016.795231566,"c(519396.705267683, 8581016.79523157)",DEMBENI
980,48.196,,tire waste,30,519375.87752854597,8581034.320855172,"c(519375.877528546, 8581034.32085517)",DEMBENI
981,50.384,,vehicle scrap,100,520132.669705066,8581024.980751019,"c(520132.669705066, 8581024.98075102)",DEMBENI
982,22.813,,vehicle scrap,1,519715.41976089054,8580905.198635314,"c(519715.419760891, 8580905.19863531)",DEMBENI
983,41.143,,vehicle scrap,1,519632.91057781,8580918.052481899,"c(519632.91057781, 8580918.0524819)",DEMBENI
984,17.852,,solid waste,7,519437.41000056616,8580912.864271183,"c(519437.410000566, 8580912.86427118)",DEMBENI
985,0,,tire waste,8,519788.68450705375,8580599.004428783,"c(519788.684507054, 8580599.00442878)",DEMBENI
986,0,,marine debris,30,519796.22465157276,8580595.520076532,"c(519796.224651573, 8580595.52007653)",DEMBENI
987,0,,tire waste,4,519821.5342483119,8580564.005210014,"c(519821.534248312, 8580564.00521001)",DEMBENI
988,8.259,,solid waste,5,520903.41429494816,8580097.830749419,"c(520903.414294948, 8580097.83074942)",DEMBENI
989,21.255,,vehicle scrap,1,525021.1358668831,8590027.599104036,"c(525021.135866883, 8590027.59910404)",KOUNGOU
990,17.974,,vehicle scrap,1,525039.2215599457,8590047.723892473,"c(525039.221559946, 8590047.72389247)",KOUNGOU
991,14.123,,vehicle scrap,1,525137.3119640287,8590008.67741564,"c(525137.311964029, 8590008.67741564)",KOUNGOU
992,16.198,,vehicle scrap,4,525305.0780700935,8589950.586156227,"c(525305.078070094, 8589950.58615623)",MAMOUDZOU
993,23.124,,vehicle scrap,3,525304.5750294108,8589751.9127385,"c(525304.575029411, 8589751.9127385)",MAMOUDZOU
994,23.874,,vehicle scrap,9,525369.8554032551,8589754.61642861,"c(525369.855403255, 8589754.61642861)",MAMOUDZOU
995,67.917,,vehicle scrap,6,506942.39802696876,8595573.917313773,"c(506942.398026969, 8595573.91731377)",MTSAMBORO
996,72.262,,vehicle scrap,1,506966.927886789,8595569.148437563,"c(506966.927886789, 8595569.14843756)",MTSAMBORO
997,66.108,,droppings,10,506940.7061071968,8595585.463785157,"c(506940.706107197, 8595585.46378516)",MTSAMBORO
998,68.49,,solid waste,1,506944.478093123,8595613.290170314,"c(506944.478093123, 8595613.29017031)",MTSAMBORO
999,66.834,,vehicle scrap,3,507017.26669613033,8595625.976075191,"c(507017.26669613, 8595625.97607519)",MTSAMBORO
1000,62.475,,vehicle scrap,1,507044.57444326853,8595645.693016538,"c(507044.574443269, 8595645.69301654)",MTSAMBORO
1001,37.85,public,vehicle scrap,3,508171.9267815916,8597190.60680121,"c(508171.926781592, 8597190.60680121)",MTSAMBORO
1002,63.468,,vehicle scrap,1,507024.92874160537,8595671.134390509,"c(507024.928741605, 8595671.13439051)",MTSAMBORO
1003,52.39,,vehicle scrap,1,506967.021125535,8595762.577190818,"c(506967.021125535, 8595762.57719082)",MTSAMBORO
1004,36.308,public,vehicle scrap,2,508183.39806775295,8597158.087450907,"c(508183.398067753, 8597158.08745091)",MTSAMBORO
1005,49.738,,vehicle scrap,2,506991.0312747571,8595740.946604738,"c(506991.031274757, 8595740.94660474)",MTSAMBORO
1006,49.107,,vehicle scrap,1,507023.6364733978,8595753.009856382,"c(507023.636473398, 8595753.00985638)",MTSAMBORO
1007,44.463,public,solid waste,2,508149.22560404206,8597079.83720249,"c(508149.225604042, 8597079.83720249)",MTSAMBORO
1008,46.075,,droppings,1,507034.9145596251,8595805.108612502,"c(507034.914559625, 8595805.1086125)",MTSAMBORO
1009,25.363,,vehicle scrap,6,507019.9131866596,8595891.20182473,"c(507019.91318666, 8595891.20182473)",MTSAMBORO
1010,27.168,public,vehicle scrap,2,508155.8682868838,8596940.755233333,"c(508155.868286884, 8596940.75523333)",MTSAMBORO
1011,28.567,,solid waste,1,507032.03860260017,8595840.228530403,"c(507032.0386026, 8595840.2285304)",MTSAMBORO
1012,33.564,,solid waste,10,506980.2701867468,8595843.274664123,"c(506980.270186747, 8595843.27466412)",MTSAMBORO
1013,35.138,,vehicle scrap,2,506995.33090293995,8595799.211041406,"c(506995.33090294, 8595799.21104141)",MTSAMBORO
1014,34.371,,solid waste,2,507054.2101410094,8595742.380674591,"c(507054.210141009, 8595742.38067459)",MTSAMBORO
1015,27.234,,solid waste,2,507149.2251931388,8595767.149711361,"c(507149.225193139, 8595767.14971136)",MTSAMBORO
1016,37.462,,tire waste,6,507202.1945508117,8595859.193974249,"c(507202.194550812, 8595859.19397425)",MTSAMBORO
1017,46.649,,solid waste,4,507228.22644397686,8595817.402139947,"c(507228.226443977, 8595817.40213995)",MTSAMBORO
1018,51.632,,solid waste,10,507249.0165892599,8595784.28028834,"c(507249.01658926, 8595784.28028834)",MTSAMBORO
1019,52.875,,solid waste,5,507281.3951746115,8595763.122819886,"c(507281.395174611, 8595763.12281989)",MTSAMBORO
1020,64.133,,vehicle scrap,6,507331.5053499107,8595750.873779144,"c(507331.505349911, 8595750.87377914)",MTSAMBORO
1021,79.072,,vehicle scrap,2,507379.7742446567,8595718.174865104,"c(507379.774244657, 8595718.1748651)",MTSAMBORO
1022,78.867,,solid waste,4,507325.59359996323,8595662.205891209,"c(507325.593599963, 8595662.20589121)",MTSAMBORO
1023,82.981,,solid waste,2,507346.2861768776,8595647.238534292,"c(507346.286176878, 8595647.23853429)",MTSAMBORO
1024,91.893,,solid waste,6,507382.0542780379,8595668.575217066,"c(507382.054278038, 8595668.57521707)",MTSAMBORO
1025,92.298,,vehicle scrap,1,507434.357990601,8595667.095177855,"c(507434.357990601, 8595667.09517786)",MTSAMBORO
1026,46.9,,droppings,1,507599.7281382059,8595922.973139701,"c(507599.728138206, 8595922.9731397)",MTSAMBORO
1027,53.762,,solid waste,1,507592.0421670113,8595942.022157326,"c(507592.042167011, 8595942.02215733)",MTSAMBORO
1028,59.665,,solid waste,1,507695.1394323441,8596135.205208918,"c(507695.139432344, 8596135.20520892)",MTSAMBORO
1029,59.826,,solid waste,10,507689.1836040638,8596148.495681826,"c(507689.183604064, 8596148.49568183)",MTSAMBORO
1030,49.366,,clogged drain,10,507681.7875042062,8596147.509071507,"c(507681.787504206, 8596147.50907151)",MTSAMBORO
1031,37.343,,marine debris,4,507624.6263486019,8596043.485088801,"c(507624.626348602, 8596043.4850888)",MTSAMBORO
1032,35.761,,solid waste,1,507562.36486364057,8596024.25137072,"c(507562.364863641, 8596024.25137072)",MTSAMBORO
1033,41.397,,vehicle scrap,20,507569.5027185963,8595973.185182134,"c(507569.502718596, 8595973.18518213)",MTSAMBORO
1034,43.409,,solid waste,1,507575.6587433389,8595941.148513427,"c(507575.658743339, 8595941.14851343)",MTSAMBORO
1035,46.368,,solid waste,1,507535.63881701883,8595920.778606063,"c(507535.638817019, 8595920.77860606)",MTSAMBORO
1036,46.927,,vehicle scrap,1,507483.0399633355,8595863.081091374,"c(507483.039963335, 8595863.08109137)",MTSAMBORO
1037,41.375,,solid waste,1,507472.93629971775,8595924.047506636,"c(507472.936299718, 8595924.04750664)",MTSAMBORO
1038,22.859,,sewage deposit,1,514169.40418361407,8575609.544419555,"c(514169.404183614, 8575609.54441955)",SADA
1039,49.44,,vehicle scrap,1,513299.26105592056,8576568.776858311,"c(513299.261055921, 8576568.77685831)",SADA
1040,39.46,,vehicle scrap,1,513217.1921966159,8576562.217231192,"c(513217.192196616, 8576562.21723119)",SADA
1041,49.652,,vehicle scrap,4,513131.643817738,8576700.604428565,"c(513131.643817738, 8576700.60442857)",SADA
1042,39.344,,solid waste,8,513074.93182402005,8576672.365431322,"c(513074.93182402, 8576672.36543132)",SADA
1043,42.814,,vehicle scrap,2,512689.85525411007,8577391.002098568,"c(512689.85525411, 8577391.00209857)",SADA
1044,30.407,,vehicle scrap,1,512626.763972029,8577351.35379184,"c(512626.763972029, 8577351.35379184)",SADA
1045,16.286,,vehicle scrap,2,512453.89912143745,8577472.701558739,"c(512453.899121437, 8577472.70155874)",SADA
1046,20.022,,vehicle scrap,13,512502.1624477422,8577433.645569755,"c(512502.162447742, 8577433.64556975)",SADA
1047,9.701,,vehicle scrap,1,512399.75677428633,8577579.20385643,"c(512399.756774286, 8577579.20385643)",SADA
1048,19.693,,vehicle scrap,2,512379.8158082686,8577750.654237688,"c(512379.815808269, 8577750.65423769)",SADA
1049,9.155,,vehicle scrap,12,512336.7965012196,8577700.988403164,"c(512336.79650122, 8577700.98840316)",SADA
1050,10.76,,vehicle scrap,1,512323.2188792474,8577777.215327738,"c(512323.218879247, 8577777.21532774)",SADA
1051,8.594,,vehicle scrap,1,512253.4715287265,8577885.085497482,"c(512253.471528727, 8577885.08549748)",SADA
1052,9.523,,vehicle scrap,1,512196.8563187074,8577838.402371831,"c(512196.856318707, 8577838.40237183)",SADA
