Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
651,-16.017,public,vehicle scrap,1,517568.5970380722,8565925.041203367,"c(517568.597038072, 8565925.04120337)",BANDRELE
652,-6.317,public,vehicle scrap,4,517606.91424026777,8565872.916265212,"c(517606.914240268, 8565872.91626521)",BANDRELE
653,-20.24,public,droppings,1,517517.2163729351,8565728.625787381,"c(517517.216372935, 8565728.62578738)",BANDRELE
654,-19.56,public,solid waste,2,517542.1360079687,8565804.513228828,"c(517542.136007969, 8565804.51322883)",BANDRELE
655,-9.4,public,solid waste,10,517432.95769918564,8566051.716351349,"c(517432.957699186, 8566051.71635135)",BANDRELE
656,-8.833,public,vehicle scrap,1,517432.35007135087,8566042.65417629,"c(517432.350071351, 8566042.65417629)",BANDRELE
657,-12.017,public,vehicle scrap,1,517414.06144772633,8566087.516222749,"c(517414.061447726, 8566087.51622275)",BANDRELE
658,-14.95,public,solid waste,11,517210.1520319032,8566256.963686265,"c(517210.152031903, 8566256.96368627)",BANDRELE
659,41.275,public,solid waste,6,518741.73999489914,8567254.912132919,"c(518741.739994899, 8567254.91213292)",BANDRELE
660,85.433,prive,vehicle scrap,4,518498.41773191286,8566706.342561888,"c(518498.417731913, 8566706.34256189)",BANDRELE
661,6.1,public,vehicle scrap,3,521709.30698839965,8592191.635537736,"c(521709.3069884, 8592191.63553774)",KOUNGOU
662,14.567,public,solid waste,1,521739.64169764944,8592229.426612552,"c(521739.641697649, 8592229.42661255)",KOUNGOU
663,3.35,public,solid waste,3,521722.5112987755,8592224.895881351,"c(521722.511298775, 8592224.89588135)",KOUNGOU
664,2.317,public,vehicle scrap,1,521668.53155992366,8592221.833274761,"c(521668.531559924, 8592221.83327476)",KOUNGOU
665,-0.62,public,solid waste,3,521660.61463847983,8592161.131684145,"c(521660.61463848, 8592161.13168414)",KOUNGOU
666,2.117,public,marine debris,100,521663.2853167661,8592144.429135578,"c(521663.285316766, 8592144.42913558)",KOUNGOU
667,4.117,public,sewage deposit,1,521645.67848912015,8592226.302954385,"c(521645.67848912, 8592226.30295439)",KOUNGOU
668,-0.75,public,solid waste,4,521720.4004484394,8592303.19698456,"c(521720.400448439, 8592303.19698456)",KOUNGOU
669,-3.52,public,droppings,1,521747.74422838364,8592343.38119251,"c(521747.744228384, 8592343.38119251)",KOUNGOU
670,0.05,public,solid waste,3,521547.6894839236,8592243.768499576,"c(521547.689483924, 8592243.76849958)",KOUNGOU
671,10.5,public,vehicle scrap,5,521418.8322814667,8592135.261412373,"c(521418.832281467, 8592135.26141237)",KOUNGOU
672,27.7,public,droppings,1,521408.12255232217,8592148.648073202,"c(521408.122552322, 8592148.6480732)",KOUNGOU
673,21.74,public,clogged drain,1,521454.44830306823,8592088.078837654,"c(521454.448303068, 8592088.07883765)",KOUNGOU
674,21.7,public,solid waste,4,521416.9759444765,8592013.666130966,"c(521416.975944476, 8592013.66613097)",KOUNGOU
675,24.117,public,vehicle scrap,6,521355.65324902185,8591909.270922055,"c(521355.653249022, 8591909.27092206)",KOUNGOU
676,19.15,public,droppings,2,521346.31301865855,8591878.929132214,"c(521346.313018659, 8591878.92913221)",KOUNGOU
677,13.767,public,vehicle scrap,1,521513.2114439751,8591991.01815303,"c(521513.211443975, 8591991.01815303)",KOUNGOU
678,9.76,public,solid waste,3,521534.1265322652,8591992.106936976,"c(521534.126532265, 8591992.10693698)",KOUNGOU
679,-1.233,public,vehicle scrap,1,521583.7180280334,8592314.485290404,"c(521583.718028033, 8592314.4852904)",KOUNGOU
680,8.05,public,vehicle scrap,2,521555.5056948605,8592292.295926588,"c(521555.50569486, 8592292.29592659)",KOUNGOU
681,10.467,public,droppings,3,521492.01082085166,8592661.202755015,"c(521492.010820852, 8592661.20275502)",KOUNGOU
682,12.033,public,tire waste,16,521471.8289306991,8592649.915260332,"c(521471.828930699, 8592649.91526033)",KOUNGOU
683,12.32,public,solid waste,1,521456.89648248843,8592645.205758277,"c(521456.896482488, 8592645.20575828)",KOUNGOU
684,1.94,public,solid waste,6,521505.8596818574,8592600.11963132,"c(521505.859681857, 8592600.11963132)",KOUNGOU
685,-16.75,public,vehicle scrap,1,521602.05377412227,8592435.743924778,"c(521602.053774122, 8592435.74392478)",KOUNGOU
686,4.317,public,solid waste,2,521673.29365740804,8592532.450875118,"c(521673.293657408, 8592532.45087512)",KOUNGOU
687,-8.84,public,solid waste,2,521665.42995698785,8592495.937437603,"c(521665.429956988, 8592495.9374376)",KOUNGOU
688,-7.54,public,droppings,1,521621.4779658105,8592512.377483215,"c(521621.47796581, 8592512.37748322)",KOUNGOU
689,-3.483,public,solid waste,1,521617.20199083275,8592489.82701954,"c(521617.201990833, 8592489.82701954)",KOUNGOU
690,0.22,public,sewage deposit,1,521609.5332719104,8592509.363247443,"c(521609.53327191, 8592509.36324744)",KOUNGOU
691,-9.467,public,solid waste,3,521615.28622751415,8592545.459199958,"c(521615.286227514, 8592545.45919996)",NA
692,-10.14,public,droppings,4,521638.853378377,8592567.250644522,"c(521638.853378377, 8592567.25064452)",NA
